trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-92.0847921452972,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,10,-119.17833513867807,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-58.81292295454678,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-148.78602013794824,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-69.21977644743764,"{0: 28, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-116.73681009124527,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-94.07689464100018,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-253.76267094359582,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,20,8.285316330794812,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-56.40766111745466,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-21.28327626710922,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,11,9.39153859429387,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-36.185906918046264,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-80.36286721608934,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-37.96015812361318,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,7,4.699261218799044,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-47.592873285929564,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-51.86879926758104,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,12,-52.83924235809169,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,27.3228564004042,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,13,-33.64458493710073,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-54.108025643270146,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,15,-11.61179170106506,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,8,16.263735816570957,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,36.79379863727974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,5.96970596368438,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-107.60108726626888,"{0: 23, 1: 0, 2: 2, 3: 4, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-2.8514628810394136,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-3.111292777855379,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,4,-77.80312000541697,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 2}",1
