trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9900498337491681}",25,0,-144.40357832304738,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.6, 'e': 0.9801986733067553}",25,0,-60.59874498072748,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.9704455335485082}",25,0,-51.450694171155575,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.9607894391523232}",20,0,-121.84279183185994,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.951229424500714}",20,0,-66.18046815808046,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.9417645335842487}",20,0,-105.75865848089693,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.9323938199059483}",20,11,-55.9711280106622,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.6, 'e': 0.9231163463866358}",25,0,-92.08002983092324,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.9139311852712282}",20,2,-114.39235641548333,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 2}",1
10,False,"{'a': 0.6, 'e': 0.9048374180359595}",20,0,-104.90167902110528,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.8958341352965282}",25,0,-231.53535470299795,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
12,False,"{'a': 0.6, 'e': 0.8869204367171575}",30,0,-33.511292530584825,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.8780954309205613}",20,0,-92.05305878207125,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.8693582353988059}",20,0,-80.39253930954456,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.8607079764250578}",25,0,-81.6842162416945,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.8521437889662113}",20,0,-93.91014300181727,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.8436648165963837}",30,0,-151.6415105615725,"{0: 21, 1: 1, 2: 3, 3: 3, 4: 2}",0
18,False,"{'a': 0.6, 'e': 0.835270211411272}",25,0,-140.51929577713827,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.8269591339433623}",30,0,-50.56385985445117,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",1
20,False,"{'a': 0.6, 'e': 0.8187307530779818}",20,0,-139.5967409703522,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.6, 'e': 0.8105842459701871}",25,0,-56.49968917653933,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.6, 'e': 0.8025187979624785}",30,0,-289.9070991716537,"{0: 12, 1: 5, 2: 6, 3: 3, 4: 4}",0
23,False,"{'a': 0.6, 'e': 0.794533602503334}",30,0,-152.49362920219897,"{0: 18, 1: 0, 2: 9, 3: 2, 4: 1}",0
24,False,"{'a': 0.6, 'e': 0.7866278610665535}",30,0,-241.09456582567952,"{0: 15, 1: 1, 2: 9, 3: 2, 4: 3}",0
25,False,"{'a': 0.6, 'e': 0.7788007830714049}",20,0,-86.77833652096707,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.6, 'e': 0.7710515858035663}",35,0,-135.52836933475476,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.6, 'e': 0.7633794943368531}",30,0,-150.83717612635962,"{0: 21, 1: 1, 2: 3, 3: 3, 4: 2}",0
28,False,"{'a': 0.6, 'e': 0.7557837414557255}",30,0,-44.42917609018291,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.6, 'e': 0.7482635675785653}",20,0,-48.480475259677746,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.6, 'e': 0.7408182206817179}",20,0,-93.64742583545772,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
31,False,"{'a': 0.6, 'e': 0.7334469562242892}",20,0,-37.520294232856216,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
32,False,"{'a': 0.6, 'e': 0.7261490370736909}",25,0,-146.84295306138876,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
33,False,"{'a': 0.6, 'e': 0.7189237334319262}",20,0,-23.800317606195662,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
34,False,"{'a': 0.6, 'e': 0.7117703227626097}",20,0,-50.43211191578669,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.6, 'e': 0.7046880897187134}",25,0,-95.0980538008828,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.6, 'e': 0.697676326071031}",25,0,-102.07664680442673,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
37,False,"{'a': 0.6, 'e': 0.6907343306373547}",20,0,-50.76886934177786,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.6, 'e': 0.6838614092123558}",25,0,-55.815942729576456,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
39,False,"{'a': 0.6, 'e': 0.6770568744981647}",25,0,-184.55109723977827,"{0: 11, 1: 2, 2: 7, 3: 4, 4: 1}",0
40,False,"{'a': 0.6, 'e': 0.6703200460356393}",30,17,-49.60787537575994,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.6, 'e': 0.6636502501363194}",20,0,0.23981014596767813,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.6, 'e': 0.6570468198150567}",20,4,-129.4573386398714,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 3}",1
43,False,"{'a': 0.6, 'e': 0.6505090947233165}",30,0,-186.41307839831669,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
44,False,"{'a': 0.6, 'e': 0.6440364210831414}",25,0,-33.11874760434423,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.6, 'e': 0.6376281516217733}",20,8,-22.583273401640593,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.6, 'e': 0.631283645506926}",25,18,-3.450188066387603,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.6, 'e': 0.6250022682827008}",20,0,-28.18010670671651,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.6, 'e': 0.6187833918061408}",20,0,-101.41313001967934,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
49,False,"{'a': 0.6, 'e': 0.6126263941844161}",25,6,-36.87695966569565,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
50,False,"{'a': 0.6, 'e': 0.6065306597126334}",20,8,-47.65453414022745,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.6, 'e': 0.6004955788122659}",25,0,-33.51269685010836,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.6, 'e': 0.5945205479701944}",20,0,-74.59282062938405,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
53,False,"{'a': 0.6, 'e': 0.5886049696783552}",25,16,-44.59172672216802,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.6, 'e': 0.5827482523739896}",20,0,-8.1471108946658,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.6, 'e': 0.5769498103804866}",35,0,-65.19477038712415,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.6, 'e': 0.5712090638488149}",20,0,-50.374206767069104,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.6, 'e': 0.5655254386995371}",30,0,-127.0474692541048,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
58,False,"{'a': 0.6, 'e': 0.559898366565402}",20,0,-60.90887513118641,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
59,False,"{'a': 0.6, 'e': 0.5543272847345071}",20,0,-132.8894352310993,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
60,False,"{'a': 0.6, 'e': 0.5488116360940264}",20,0,-57.01415527444969,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
61,False,"{'a': 0.6, 'e': 0.5433508690744998}",20,12,-26.321661838668,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.6, 'e': 0.5379444375946745}",20,0,-18.547025771739793,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.6, 'e': 0.5325918010068972}",30,18,-32.902545636377724,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.6, 'e': 0.5272924240430485}",30,0,-55.95392231359631,"{0: 24, 1: 0, 2: 3, 3: 3, 4: 0}",0
65,False,"{'a': 0.6, 'e': 0.522045776761016}",30,8,-76.42552239592933,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 1}",1
66,False,"{'a': 0.6, 'e': 0.5168513344916992}",20,0,-98.3473519062944,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.6, 'e': 0.5117085777865424}",20,0,-62.99551504078207,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.6, 'e': 0.5066169923655895}",25,6,-51.229300419777466,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 1}",1
69,False,"{'a': 0.6, 'e': 0.5015760690660555}",30,0,-55.37055990536193,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
70,False,"{'a': 0.6, 'e': 0.49658530379140947}",30,0,12.842276420951842,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.6, 'e': 0.4916441974609651}",25,8,-86.02981412562244,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
72,False,"{'a': 0.6, 'e': 0.4867522559599717}",30,16,-2.265961341460711,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.6, 'e': 0.48190899009020244}",20,6,-35.493715156446555,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.6, 'e': 0.4771139155210344}",20,12,-26.72740015730902,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
75,False,"{'a': 0.6, 'e': 0.4723665527410147}",30,14,-9.065543012904255,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.6, 'e': 0.46766642700990924}",20,7,-1.4970086282739539,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
